"symbol","update_date","company_name","last_sale","net_change","percent_change","market_cap_m","volume_t","ipo_year","country","sector","industry","bnw_symbol","zck_symbol","prn_symbol","update_time"
"WRK","2022-05-09","Westrock Company Common Stock",51.31,-2.09,-3.914,13505,3772,2015,"","","","WRK","WRK","WRK","16:30:13"
"ZGN","2022-05-09","Ermenegildo Zegna N.V. Ordinary Shares",9.22,-0.3,-3.151,2234,70,2021,"","","","ZGN","ZGN","ZGN","16:30:13"
"DC","2022-05-09","Dakota Gold Corp. Common Stock",3.78,-0.17,-4.304,267,138,2022,"","Basic Industries","Precious Metals","DC","DC","DC","16:30:02"
"AHRN","2022-05-09","Ahren Acquisition Corp. Class A Ordinary Shares",9.92,-0.02,-0.201,371,0,2022,"Cayman Islands","","","AHRN","AHRN","AHRN","16:30:03"
"AIB","2022-05-09","AIB Acquisition Corporation Class A Ordinary Shares",9.94,0.0,0.0,111,10,2022,"United States","","","AIB","AIB","AIB","16:30:03"
"AAMC","2022-05-09","Altisource Asset Management Corp Com",10.0,-0.5,-4.776,20,3,NULL,"United States","Finance","Investment Managers","AAMC","AAMC","AAMC","16:30:02"
"ACU","2022-05-09","Acme United Corporation. Common Stock",33.22,-0.87,-2.552,116,9,1988,"United States","Consumer Durables","Home Furnishings","ACU","ACU","ACU","16:30:02"
"ADRA","2022-05-09","Adara Acquisition Corp. Class A Common Stock",9.88,-0.04,-0.403,142,8,2021,"United States","Finance","Diversified Financial Service","ADRA","ADRA","ADRA","16:30:02"
"ADRT","2022-05-09","Ault Disruptive Technologies Corporation Common Stock",9.99,-0.01,-0.1,143,0,2022,"","Finance","Diversified Financial Service","ADRT","ADRT","ADRT","16:30:02"
"AE","2022-05-09","Adams Resources & Energy Inc. Common Stock",35.98,-1.67,-4.436,157,28,NULL,"United States","Energy","Oilfield Services/Equipment","AE","AE","AE","16:30:02"
"AIM","2022-05-09","AIM ImmunoTech Inc. Common Stock",1.03,-0.04,-3.738,40,240,NULL,"United States","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","AIM","AIM","AIM","16:30:02"
"AINC","2022-05-09","Ashford Inc. (Holding Company) Common Stock",13.93,0.18,1.309,43,30,2014,"United States","Finance","Investment Managers","AINC","AINC","AINC","16:30:02"
"AMS","2022-05-09","American Shared Hospital Services Common Stock",2.33,0.03,1.304,14,10,NULL,"United States","Health Care","Medical Specialities","AMS","AMS","AMS","16:30:02"
"APT","2022-05-09","Alpha Pro Tech Ltd. Common Stock",3.91,-0.09,-2.25,50,123,NULL,"Canada","","","APT","APT","APT","16:30:02"
"AREN","2022-05-09","The Arena Group Holdings Inc. Common Stock",13.15,-1.85,-12.333,229,92,NULL,"","Consumer Services","Interactive Media","AREN","AREN","AREN","16:30:02"
"ARMP","2022-05-09","Armata Pharmaceuticals Inc. Common Stock",4.1,-0.09,-2.031,148,2,NULL,"United States","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","ARMP","ARMP","ARMP","16:30:02"
"ATNM","2022-05-09","Actinium Pharmaceuticals Inc. (Delaware) Common Stock",5.52,-0.2,-3.497,122,415,NULL,"United States","Health Care","Biotechnology: Pharmaceutical Preparations","ATNM","ATNM","ATNM","16:30:02"
"AUST","2022-05-09","Austin Gold Corp. Common Shares",2.79,-0.17,-5.743,35,9687,2022,"","","","AUST","AUST","AUST","16:30:02"
"AWX","2022-05-09","Avalon Holdings Corporation Common Stock",3.11,-0.14,-4.302,12,11,NULL,"United States","Public Utilities","Environmental Services","AWX","AWX","AWX","16:30:02"
"AXU","2022-05-09","Alexco Resource Corp Common Shares (Canada)",0.95,-0.09,-8.654,154,776,NULL,"Canada","","","AXU","AXU","AXU","16:30:02"
"BATL","2022-05-09","Battalion Oil Corporation Common Stock",16.17,-2.86,-15.029,264,29,NULL,"","Energy","Oil & Gas Production","BATL","BATL","BATL","16:30:02"
"BDL","2022-05-09","Flanigan's Enterprises Inc. Common Stock",37.2,0.3,0.813,69,3,NULL,"United States","Consumer Services","Restaurants","BDL","BDL","BDL","16:30:02"
"BGI","2022-05-09","Birks Group Inc. Common Stock",5.09,-0.06,-1.165,93,60,NULL,"Canada","","","BGI","BGI","BGI","16:30:02"
"BHB","2022-05-09","Bar Harbor Bankshares Inc. Common Stock",26.08,-0.02,-0.077,391,21,NULL,"United States","Finance","Major Banks","BHB","BHB","BHB","16:30:02"
"BKTI","2022-05-09","BK Technologies Corporation Common Stock",2.42,-0.07,-2.811,40,31,NULL,"United States","Technology","Radio And Television Broadcasting And Communications Equipment","BKTI","BKTI","BKTI","16:30:02"
"BMTX","2022-05-09","BM Technologies Inc. Common Stock",6.78,-0.07,-1.022,83,35,2018,"","Technology","EDP Services","BMTX","BMTX","BMTX","16:30:02"
"BRBS","2022-05-09","Blue Ridge Bankshares Inc. Common Stock",14.15,-0.55,-3.741,265,227,NULL,"","Finance","Commercial Banks","BRBS","BRBS","BRBS","16:30:02"
"BRG","2022-05-09","Bluerock Residential Growth REIT Inc. Class A Common Stock",26.09,-0.5,-1.88,765,618,2014,"","Consumer Services","Real Estate Investment Trusts","BRG","BRG","BRG","16:30:02"
"BRN","2022-05-09","Barnwell Industries Inc. Common Stock",2.93,-0.12,-3.934,29,273,NULL,"United States","Energy","Oil & Gas Production","BRN","BRN","BRN","16:30:02"
"BTG","2022-05-09","B2Gold Corp Common shares (Canada)",4.02,-0.29,-6.729,4254,14745,NULL,"Canada","","","BTG","BTG","BTG","16:30:02"
"BTN","2022-05-09","Ballantyne Strong Inc. Common Stock",2.94,-0.06,-2.0,56,27,NULL,"United States","Miscellaneous","Industrial Machinery/Components","BTN","BTN","BTN","16:30:02"
"BTTR","2022-05-09","Better Choice Company Inc. Common Stock",1.91,-0.24,-11.163,56,39,2021,"","Consumer Non-Durables","Food Distributors","BTTR","BTTR","BTTR","16:30:02"
"CANF","2022-05-09","Can-Fite Biopharma Ltd Sponsored ADR (Israel)",0.84,-0.07,-7.692,22,195,NULL,"Israel","Health Care","Biotechnology: Pharmaceutical Preparations","CANF","CANF","CANF","16:30:02"
"CCF","2022-05-09","Chase Corporation Common Stock",84.9,0.81,0.963,803,40,NULL,"United States","Basic Industries","Paints/Coatings","CCF","CCF","CCF","16:30:02"
"CET","2022-05-09","Central Securities Corporation Common Stock",37.82,-1.06,-2.726,1031,47,NULL,"United States","Finance","Finance/Investors Services","CET","CET","CET","16:30:02"
"CEV","2022-05-09","Eaton Vance California Municipal Income Trust Shares of Beneficial Interest",10.46,-0.07,-0.665,74,28,1999,"United States","Finance","Finance/Investors Services","CEV","CEV","CEV","16:30:02"
"CIX","2022-05-09","CompX International Inc. Common Stock",20.59,-1.21,-5.55,254,19,1998,"United States","Miscellaneous","Diversified Manufacture","CIX","CIX","CIX","16:30:02"
"CKX","2022-05-09","CKX Lands Inc. Common Stock",11.4,-0.1,-0.892,22,3,NULL,"United States","Energy","Oil & Gas Production","CKX","CKX","CKX","16:30:02"
"CMCL","2022-05-09","Caledonia Mining Corporation Plc Common Shares",12.61,-0.67,-5.045,161,45,NULL,"Canada","Basic Industries","Precious Metals","CMCL","CMCL","CMCL","16:30:02"
"CMT","2022-05-09","Core Molding Technologies Inc Common Stock",10.2,-0.09,-0.875,88,20,NULL,"United States","Consumer Durables","Electronic Components","CMT","CMT","CMT","16:30:02"
"COHN","2022-05-09","Cohen & Company Inc.",12.18,-1.81,-12.938,18,31,NULL,"United States","Finance","Investment Bankers/Brokers/Service","COHN","COHN","COHN","16:30:02"
"CQP","2022-05-09","Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units",54.34,-2.24,-3.959,26302,186,2007,"United States","Public Utilities","Oil/Gas Transmission","CQP","CQP","CQP","16:30:02"
"CTEK","2022-05-09","CynergisTek Inc. Common Stock",0.77,-0.11,-12.377,10,190,2017,"United States","Technology","Retail: Computer Software & Peripheral Equipment","CTEK","CTEK","CTEK","16:30:02"
"CTGO","2022-05-09","Contango ORE Inc. Common Stock",24.0,-0.5,-2.041,161,0,2021,"","Basic Industries","Precious Metals","CTGO","CTGO","CTGO","16:30:02"
"CVM","2022-05-09","Cel-Sci Corporation Common Stock",2.86,-0.19,-6.23,123,600,NULL,"United States","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","CVM","CVM","CVM","16:30:02"
"CVR","2022-05-09","Chicago Rivet & Machine Co. Common Stock",26.0,0.3,1.174,25,1,NULL,"United States","Consumer Non-Durables","Industrial Specialties","CVR","CVR","CVR","16:30:02"
"CVU","2022-05-09","CPI Aerostructures Inc. Common Stock",2.4,-0.15,-5.882,29,5,NULL,"United States","Capital Goods","Military/Government/Technical","CVU","CVU","CVU","16:30:02"
"DIT","2022-05-09","AMCON Distributing Company Common Stock",163.6,-10.38,-5.966,95,1,NULL,"United States","Consumer Non-Durables","Food Distributors","DIT","DIT","DIT","16:30:02"
"DLA","2022-05-09","Delta Apparel Inc. Common Stock",28.97,-0.84,-2.818,201,42,NULL,"United States","Consumer Non-Durables","Department/Specialty Retail Stores","DLA","DLA","DLA","16:30:02"
"DMF","2022-05-09","BNY Mellon Municipal Income Inc. Common Stock",6.96,-0.14,-1.972,144,43,1988,"United States","Finance","Finance/Investors Services","DMF","DMF","DMF","16:30:02"
"DNN","2022-05-09","Denison Mines Corp Ordinary Shares (Canada)",1.05,-0.15,-12.5,858,18009,NULL,"Canada","","","DNN","DNN","DNN","16:30:02"
"DPSI","2022-05-09","DecisionPoint Systems Inc. Common Stock",8.77,2.08,31.091,63,1042,2022,"","Technology","Computer Software: Programming Data Processing","DPSI","DPSI","DPSI","16:30:02"
"ELA","2022-05-09","Envela Corporation Common Stock",4.84,-0.05,-1.022,130,42,NULL,"United States","Consumer Non-Durables","Consumer Specialties","ELA","ELA","ELA","16:30:02"
"ELLO","2022-05-09","Ellomay Capital Ltd Ordinary Shares (Israel)",22.63,-2.5,-9.948,290,4,NULL,"Israel","Public Utilities","Electric Utilities: Central","ELLO","ELLO","ELLO","16:30:02"
"ELMD","2022-05-09","Electromed Inc. Common Stock",12.5,0.0,-0.001,106,35,2011,"United States","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","ELMD","ELMD","ELMD","16:30:02"
"EMAN","2022-05-09","eMagin Corporation Common Stock",0.77,0.0,0.013,56,1294,NULL,"United States","Capital Goods","Industrial Machinery/Components","EMAN","EMAN","EMAN","16:30:02"
"EMX","2022-05-09","EMX Royalty Corporation Common Shares (Canada)",1.83,-0.11,-5.67,200,252,NULL,"Canada","","","EMX","EMX","EMX","16:30:02"
"ENSV","2022-05-09","Enservco Corporation Common Stock",2.49,-0.44,-15.017,28,528,NULL,"United States","Energy","Oilfield Services/Equipment","ENSV","ENSV","ENSV","16:30:02"
"EP","2022-05-09","Empire Petroleum Corporation Common Stock",19.46,-5.24,-21.215,386,58,2022,"United States","Energy","Oil & Gas Production","EP","EP","EP","16:30:02"
"EPM","2022-05-09","Evolution Petroleum Corporation Inc. Common Stock",6.38,-0.51,-7.402,214,285,NULL,"United States","Energy","Oil & Gas Production","EPM","EPM","EPM","16:30:02"
"EQX","2022-05-09","Equinox Gold Corp. Common Shares",5.57,-0.23,-3.966,1686,3726,NULL,"Canada","","","EQX","EQX","EQX","16:30:02"
"ESP","2022-05-09","Espey Mfg. & Electronics Corp. Common Stock",13.6,0.11,0.815,36,3,NULL,"United States","Capital Goods","Industrial Machinery/Components","ESP","ESP","ESP","16:30:02"
"EVBN","2022-05-09","Evans Bancorp Inc. Common Stock",37.01,-0.11,-0.296,204,9,NULL,"United States","Finance","Major Banks","EVBN","EVBN","EVBN","16:30:02"
"EVI","2022-05-09","EVI Industries Inc.  Common Stock",12.9,-0.02,-0.155,158,17,NULL,"United States","Capital Goods","Industrial Machinery/Components","EVI","EVI","EVI","16:30:02"
"FRD","2022-05-09","Friedman Industries Inc. Common Stock",9.65,-0.08,-0.822,66,14,NULL,"United States","Basic Industries","Steel/Iron Ore","FRD","FRD","FRD","16:30:02"
"FSI","2022-05-09","Flexible Solutions International Inc. Common Stock (CDA)",2.73,-0.27,-9.0,33,15,NULL,"Canada","Capital Goods","Recreational Products/Toys","FSI","FSI","FSI","16:30:02"
"FSP","2022-05-09","Franklin Street Properties Corp. Common Stock",4.7,-0.19,-3.885,484,1013,NULL,"United States","Consumer Services","Real Estate Investment Trusts","FSP","FSP","FSP","16:30:02"
"FTF","2022-05-09","Franklin Limited Duration Income Trust Common Shares of Beneficial Interest",6.88,-0.11,-1.574,215,107,2003,"United States","Finance","Finance/Investors Services","FTF","FTF","FTF","16:30:02"
"GBR","2022-05-09","New Concept Energy Inc Common Stock",1.98,-0.33,-14.286,10,96,NULL,"United States","Consumer Services","Real Estate","GBR","GBR","GBR","16:30:02"
"GGN","2022-05-09","GAMCO Global Gold Natural Resources & Income Trust",3.82,-0.18,-4.5,588,1073,2005,"United States","Finance","Finance/Investors Services","GGN","GGN","GGN","16:30:02"
"GLDG","2022-05-09","GoldMining Inc. Common Shares",1.07,-0.12,-10.084,163,778,NULL,"","","","GLDG","GLDG","GLDG","16:30:02"
"GLU","2022-05-09","Gabelli Global Utility Common Shares of Beneficial Ownership",17.04,-0.23,-1.332,91,26,2004,"United States","Finance","Finance/Investors Services","GLU","GLU","GLU","16:30:02"
"GNS","2022-05-09","Genius Group Limited Ordinary Shares",5.74,-0.01,-0.174,123,335,2022,"","","","GNS","GNS","GNS","16:30:02"
"GOED","2022-05-09","1847 Goedeker Inc. Commom Stock",1.28,-0.09,-6.569,136,651,2020,"United States","Capital Goods","Recreational Products/Toys","GOED","GOED","GOED","16:30:02"
"GORO","2022-05-09","Gold Resource Corporation Common Stock",1.69,-0.14,-7.65,149,1140,NULL,"United States","Basic Industries","Precious Metals","GORO","GORO","GORO","16:30:02"
"GROY","2022-05-09","Gold Royalty Corp. Common Shares",3.13,-0.32,-9.275,420,770,2021,"","","","GROY","GROY","GROY","16:30:02"
"GSAT","2022-05-09","Globalstar Inc. Common Stock",1.04,-0.08,-7.143,1871,5291,2006,"United States","Consumer Services","Telecommunications Equipment","GSAT","GSAT","GSAT","16:30:02"
"GTE","2022-05-09","Gran Tierra Energy Inc. Common Stock",1.41,-0.21,-12.963,519,9455,NULL,"Canada","Energy","Oil & Gas Production","GTE","GTE","GTE","16:30:02"
"HNRA","2022-05-09","HNR Acquisition Corp Common Stock",9.99,-0.01,-0.1,116,107,2022,"","Finance","Diversified Financial Service","HNRA","HNRA","HNRA","16:30:02"
"HUSA","2022-05-09","Houston American Energy Corporation Common Stock",3.37,-0.71,-17.402,33,1832,NULL,"United States","Energy","Oil & Gas Production","HUSA","HUSA","HUSA","16:30:02"
"ID","2022-05-09","PARTS iD Inc. Class A Common Stock",1.94,0.02,1.042,65,12,2017,"United States","Miscellaneous","Diversified Commercial Services","ID","ID","ID","16:30:02"
"IDR","2022-05-09","Idaho Strategic Resources Inc. Common Stock",7.9,-0.66,-7.71,89,24,NULL,"","Basic Industries","Precious Metals","IDR","IDR","IDR","16:30:02"
"IDW","2022-05-09","IDW Media Holdings Class B Common Stock",1.38,-0.11,-7.383,17,16,2021,"","Consumer Services","Newspapers/Magazines","IDW","IDW","IDW","16:30:02"
"IHT","2022-05-09","InnSuites Hospitality Trust Shares of Beneficial Interest",2.64,-0.19,-6.671,23,0,NULL,"United States","Consumer Services","Real Estate Investment Trusts","IHT","IHT","IHT","16:30:02"
"IMO","2022-05-09","Imperial Oil Limited Common Stock",48.73,-4.03,-7.638,32607,757,NULL,"Canada","","","IMO","IMO","IMO","16:30:02"
"INDO","2022-05-09","Indonesia Energy Corporation Limited Ordinary Shares",14.08,-4.14,-22.722,107,527,2019,"","Energy","Oil & Gas Production","INDO","INDO","INDO","16:30:02"
"INFU","2022-05-09","InfuSystems Holdings Inc. Common Stock",8.29,-1.04,-11.147,170,324,NULL,"United States","Health Care","Medical/Dental Instruments","INFU","INFU","INFU","16:30:02"
"INTT","2022-05-09","inTest Corporation Common Stock",6.76,-0.98,-12.661,74,203,1997,"United States","Technology","Semiconductors","INTT","INTT","INTT","16:30:02"
"IOR","2022-05-09","Income Opportunity Realty Investors Inc. Common Stock",12.07,0.0,0.0,50,0,NULL,"United States","Finance","Diversified Financial Services","IOR","IOR","IOR","16:30:02"
"ISDR","2022-05-09","Issuer Direct Corporation Common Stock",23.0,-1.76,-7.108,87,8,NULL,"United States","Technology","EDP Services","ISDR","ISDR","ISDR","16:30:02"
"ITRG","2022-05-09","Integra Resources Corp. Common Shares",1.02,-0.04,-3.318,63,131,NULL,"","","","ITRG","ITRG","ITRG","16:30:02"
"KULR","2022-05-09","KULR Technology Group Inc. Common Stock",1.39,-0.28,-16.766,145,633,NULL,"United States","","","KULR","KULR","KULR","16:30:02"
"LCTX","2022-05-09","Lineage Cell Therapeutics Inc. Common Stock",1.2,0.05,4.348,179,1240,NULL,"United States","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","LCTX","LCTX","LCTX","16:30:02"
"LEU","2022-05-09","Centrus Energy Corp. Class A Common Stock",20.66,-6.15,-22.939,299,355,2014,"United States","","","LEU","LEU","LEU","16:30:02"
"LGL","2022-05-09","LGL Group Inc. (The) Common Stock",10.05,-0.47,-4.422,53,3,NULL,"United States","Capital Goods","Industrial Machinery/Components","LGL","LGL","LGL","16:30:02"
"LNG","2022-05-09","Cheniere Energy Inc. Common Stock",134.27,-13.0,-8.827,34123,2825,NULL,"United States","Public Utilities","Oil/Gas Transmission","LNG","LNG","LNG","16:30:02"
"LODE","2022-05-09","Comstock Mining Inc. Common Stock",0.83,-0.07,-8.111,57,573,NULL,"United States","Finance","Real Estate","LODE","LODE","LODE","16:30:02"
"LSF","2022-05-09","Laird Superfood Inc. Common Stock",2.26,-0.89,-28.254,20,242,2020,"","Consumer Non-Durables","Specialty Foods","LSF","LSF","LSF","16:30:02"
"LXFR","2022-05-09","Luxfer Holdings PLC Ordinary Shares",15.88,-0.03,-0.189,448,116,2012,"United Kingdom","Capital Goods","Metal Fabrications","LXFR","LXFR","LXFR","16:30:02"
"MAG","2022-05-09","MAG Silver Corporation Ordinary Shares",12.92,-1.74,-11.869,1264,860,NULL,"Canada","","","MAG","MAG","MAG","16:30:02"
"MGLD","2022-05-09","The Marygold Companies Inc. Common Stock",1.17,-0.06,-4.878,46,66,NULL,"","Finance","Finance/Investors Services","MGLD","MGLD","MGLD","16:30:02"
"MHH","2022-05-09","Mastech Digital Inc Common Stock",18.1,-0.49,-2.636,209,12,NULL,"United States","Consumer Services","Professional Services","MHH","MHH","MHH","16:30:02"
"MIMO","2022-05-09","Airspan Networks Holdings Inc. Common Stock",2.55,-0.25,-8.929,184,17,2020,"","Consumer Services","Telecommunications Equipment","MIMO","MIMO","MIMO","16:30:02"
"MITQ","2022-05-09","Moving iMage Technologies Inc. Common Stock",1.03,-0.09,-8.036,10,346,2021,"United States","Capital Goods","Telecommunications Equipment","MITQ","MITQ","MITQ","16:30:02"
"MLSS","2022-05-09","Milestone Scientific Inc. Common Stock",0.96,-0.11,-10.0,65,112,2015,"United States","Health Care","Industrial Specialties","MLSS","MLSS","MLSS","16:30:02"
"MMX","2022-05-09","Maverix Metals Inc. Common Shares",4.19,-0.22,-4.989,615,388,NULL,"","","","MMX","MMX","MMX","16:30:02"
"MTA","2022-05-09","Metalla Royalty & Streaming Ltd. Common Shares",5.17,-0.28,-5.138,229,465,NULL,"","","","MTA","MTA","MTA","16:30:02"
"MTMT","2022-05-09","Mega Matrix Corp. Common Stock",1.43,-0.04,-2.721,31,34,NULL,"United States","Technology","Diversified Commercial Services","MTMT","MTMT","MTMT","16:30:02"
"MXC","2022-05-09","Mexco Energy Corporation Common Stock",14.92,-2.16,-12.646,31,197,NULL,"United States","Energy","Oil & Gas Production","MXC","MXC","MXC","16:30:02"
"MYO","2022-05-09","Myomo Inc. Common Stock",2.51,-0.3,-10.811,17,31,2017,"United States","Health Care","Industrial Specialties","MYO","MYO","MYO","16:30:02"
"NAVB","2022-05-09","Navidea Biopharmaceuticals Inc. Common Stock",0.86,-0.02,-2.599,26,43,NULL,"United States","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","NAVB","NAVB","NAVB","16:30:02"
"NEN","2022-05-09","New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership",80.0,-0.37,-0.46,291,0,NULL,"United States","Finance","Real Estate","NEN","NEN","NEN","16:30:02"
"NEWP","2022-05-09","New Pacific Metals Corp. Common Shares",3.0,-0.18,-5.66,467,387,2021,"","","","NEWP","NEWP","NEWP","16:30:02"
"NFGC","2022-05-09","New Found Gold Corp Common Shares",6.01,-0.5,-7.68,987,462,2021,"","","","NFGC","NFGC","NFGC","16:30:02"
"NG","2022-05-09","Novagold Resources Inc.",5.43,-0.34,-5.893,1809,2360,NULL,"Canada","","","NG","NG","NG","16:30:02"
"NGD","2022-05-09","New Gold Inc.",1.25,-0.1,-7.407,852,5956,NULL,"Canada","","","NGD","NGD","NGD","16:30:02"
"NHC","2022-05-09","National HealthCare Corporation Common Stock",71.15,0.63,0.893,1100,46,NULL,"United States","Health Care","Hospital/Nursing Management","NHC","NHC","NHC","16:30:02"
"NHWK","2022-05-09","NightHawk Biosciences Inc. Common Stock",1.99,-0.22,-9.955,51,146,NULL,"United States","Health Care","Biotechnology: Pharmaceutical Preparations","NHWK","NHWK","NHWK","16:30:02"
"NNVC","2022-05-09","NanoViricides Inc. Common Stock",1.37,-0.12,-8.054,15,41,NULL,"United States","Health Care","Biotechnology: Pharmaceutical Preparations","NNVC","NNVC","NNVC","16:30:02"
"NTIP","2022-05-09","Network-1 Technologies Inc. Common Stock",2.51,-0.02,-0.791,59,7,NULL,"United States","Consumer Services","Interactive Media","NTIP","NTIP","NTIP","16:30:02"
"OBE","2022-05-09","Obsidian Energy Ltd. Common Shares",6.74,-0.71,-9.53,545,1556,NULL,"","","","OBE","OBE","OBE","16:30:02"
"OPTT","2022-05-09","Ocean Power Technologies Inc. Common Stock",0.96,-0.1,-9.434,53,456,2007,"United States","Capital Goods","Industrial Machinery/Components","OPTT","OPTT","OPTT","16:30:02"
"ORLA","2022-05-09","Orla Mining Ltd. Common Shares",4.0,-0.35,-8.046,991,207,2020,"","","","ORLA","ORLA","ORLA","16:30:02"
"OZ","2022-05-09","Belpointe PREP LLC Class A Units",99.83,0.41,0.412,337,21,NULL,"","","","OZ","OZ","OZ","16:30:02"
"PED","2022-05-09","Pedevco Corp. Common Stock",1.08,-0.14,-11.475,92,1073,NULL,"United States","","","PED","PED","PED","16:30:02"
"PHGE","2022-05-09","BiomX Inc. COmmon Stock",1.16,-0.14,-10.487,34,22,2019,"","Health Care","Biotechnology: Pharmaceutical Preparations","PHGE","PHGE","PHGE","16:30:02"
"PLG","2022-05-09","Platinum Group Metals Ltd. Ordinary Shares (Canada)",1.37,-0.2,-12.739,131,1056,NULL,"Canada","","","PLG","PLG","PLG","16:30:02"
"PLM","2022-05-09","Polymet Mining Corporation Ordinary Shares (Canada)",2.64,-0.26,-8.966,267,159,NULL,"Canada","","","PLM","PLM","PLM","16:30:02"
"PLX","2022-05-09","Protalix BioTherapeutics Inc. (DE) Common Stock",1.05,-0.09,-7.489,48,444,NULL,"Israel","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","PLX","PLX","PLX","16:30:02"
"PRK","2022-05-09","Park National Corporation Common Stock",120.46,2.3,1.947,1957,44,NULL,"United States","Finance","Major Banks","PRK","PRK","PRK","16:30:02"
"PW","2022-05-09","Power REIT (MD) Common Stock",20.41,-3.45,-14.459,68,35,NULL,"United States","Consumer Services","Real Estate Investment Trusts","PW","PW","PW","16:30:02"
"RCOR","2022-05-09","Renovacor Inc. Common Stock",3.06,-0.69,-18.4,52,24,2020,"","Health Care","Biotechnology: Pharmaceutical Preparations","RCOR","RCOR","RCOR","16:30:02"
"REI","2022-05-09","Ring Energy Inc. Common Stock",4.36,-0.6,-12.097,436,3451,NULL,"United States","Energy","Oil & Gas Production","REI","REI","REI","16:30:02"
"REPX","2022-05-09","Riley Exploration Permian Inc. Common Stock",22.83,-2.09,-8.387,445,88,NULL,"United States","Energy","Oil & Gas Production","REPX","REPX","REPX","16:30:02"
"RHE","2022-05-09","Regional Health Properties Inc. Common Stock",2.1,-0.78,-27.083,3,58,2017,"","Health Care","Hospital/Nursing Management","RHE","RHE","RHE","16:30:02"
"RLGT","2022-05-09","Radiant Logistics Inc. Common Stock",5.78,-0.38,-6.169,285,166,NULL,"United States","Transportation","Oil Refining/Marketing","RLGT","RLGT","RLGT","16:30:02"
"RVP","2022-05-09","Retractable Technologies Inc. Common Stock",3.89,0.12,3.183,128,280,NULL,"United States","Health Care","Medical/Dental Instruments","RVP","RVP","RVP","16:30:02"
"SACC","2022-05-09","Sachem Capital Corp. 6.875% Notes due 2024",25.13,-0.02,-0.078,0,3,2019,"United States","Consumer Services","Real Estate Investment Trusts","SACC","SACC","SACC","16:30:02"
"SACH","2022-05-09","Sachem Capital Corp. Common Shares",4.4,-0.35,-7.368,156,513,2017,"United States","Consumer Services","Real Estate Investment Trusts","SACH","SACH","SACH","16:30:02"
"SBEV","2022-05-09","Splash Beverage Group Inc. (NV) Common Stock",2.22,-0.16,-6.723,74,92,2021,"","Consumer Non-Durables","Beverages (Production/Distribution)","SBEV","SBEV","SBEV","16:30:02"
"SCCB","2022-05-09","Sachem Capital Corp. 7.125% Notes due 2024",25.25,0.0,0.0,0,1,2019,"United States","Consumer Services","Real Estate Investment Trusts","SCCB","SCCB","SCCB","16:30:02"
"SCCC","2022-05-09","Sachem Capital Corp. 7.75% Notes due 2025",25.4,-0.02,-0.079,0,18,2020,"United States","Consumer Services","Real Estate Investment Trusts","SCCC","SCCC","SCCC","16:30:02"
"SCCD","2022-05-09","Sachem Capital Corp. 6.00% Notes due 2026",23.63,-0.75,-3.076,0,1,NULL,"United States","Consumer Services","Real Estate Investment Trusts","SCCD","SCCD","SCCD","16:30:02"
"SCCE","2022-05-09","Sachem Capital Corp. 6.00% Notes due 2027",24.11,-0.14,-0.577,0,0,2022,"United States","Consumer Services","Real Estate Investment Trusts","SCCE","SCCE","SCCE","16:30:02"
"SDPI","2022-05-09","Superior Drilling Products Inc. Common Stock",1.01,-0.06,-5.572,28,315,2014,"","Energy","Metal Fabrications","SDPI","SDPI","SDPI","16:30:02"
"SEB","2022-05-09","Seaboard Corporation Common Stock",3898.95,-26.07,-0.664,4525,0,1996,"United States","Finance","Diversified Financial Service","SEB","SEB","SEB","16:30:02"
"SENS","2022-05-09","Senseonics Holdings Inc. Common Stock",1.14,-0.12,-9.524,528,7751,NULL,"United States","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","SENS","SENS","SENS","16:30:02"
"SIF","2022-05-09","SIFCO Industries Inc. Common Stock",3.85,-0.01,-0.13,23,9,NULL,"United States","Capital Goods","Office Equipment/Supplies/Services","SIF","SIF","SIF","16:30:02"
"SILV","2022-05-09","SilverCrest Metals Inc. Common Shares",6.68,-0.85,-11.288,974,1392,2018,"","Capital Goods","Industrial Machinery/Components","SILV","SILV","SILV","16:30:02"
"SIM","2022-05-09","Grupo Simec S.A.B. de C.V. American Depositary Shares",28.5,-1.4,-4.682,4393,0,1993,"Mexico","Basic Industries","Steel/Iron Ore","SIM","SIM","SIM","16:30:02"
"SKYH","2022-05-09","Sky Harbour Group Corporation Class A Common Stock",7.79,0.48,6.566,445,3322,NULL,"","Capital Goods","Military/Government/Technical","SKYH","SKYH","SKYH","16:30:02"
"SLI","2022-05-09","Standard Lithium Ltd. Common Shares",5.21,-0.74,-12.437,842,1648,2021,"","","","SLI","SLI","SLI","16:30:02"
"SMTS","2022-05-09","Sierra Metals Inc. Common Stock",0.82,-0.07,-7.677,134,277,NULL,"","","","SMTS","SMTS","SMTS","16:30:02"
